Unknown1,Sex,Date,Subject,Grade,Unknown2
151,M,2009-01,inf63,7,20
151,M,2009-02,inf63,53,4
130,M,2009-01,inf63,63,0
136,M,2009-01,inf63,68,4
132,M,2009-01,inf63,67,4
129,M,2009-01,inf63,40,18
129,M,2009-02,inf63,16,18
150,M,2009-01,inf63,17,4
150,M,2009-02,inf63,60,4
22,M,2009-01,gem03,51,0
22,M,2009-02,gem03,60,15
700,M,2014-02,gsi015,60,8
194,M,2009-01,inf63,60,16
534,F,2015-02,gsi037,72,8
531,M,2015-02,gsi037,17,32
711,F,2014-02,facom49010,51,6
331,F,2011-02,gsi014,85,16
331,F,2012-02,gsi015,60,16
592,M,2013-02,gsi005,10,16
333,M,2011-02,gsi014,46,4
333,M,2012-02,gsi015,8,14
333,M,2014-01,gsi015,61,12
780,F,2014-01,gsi015,7,26
337,F,2011-02,gsi014,80,8
623,M,2013-02,gsi005,60,4
623,M,2014-02,gsi015,60,8
334,M,2011-02,gsi014,84,0
604,M,2013-02,gsi005,15,0
606,M,2013-02,gsi005,0,30
610,M,2013-02,gsi005,5,36
599,M,2013-02,gsi005,6,10
599,M,2015-01,gsi015,0,44
571,M,2013-02,gsi005,36,0
571,M,2014-02,gsi015,15,4
571,M,2015-01,gsi015,50,4
343,M,2011-02,gsi014,60,2
344,M,2011-02,gsi014,60,12
608,M,2013-02,gsi005,1,12
788,M,2014-01,gsi015,16,14
788,M,2013-02,gsi015,3,14
340,M,2011-02,gsi014,74,6
497,F,2015-02,gsi015,8,16
577,M,2013-02,gsi005,68,0
577,M,2014-02,gsi015,77,8
171,F,2009-01,inf63,9,30
171,F,2009-02,inf63,0,54
600,M,2013-02,gsi005,68,2
600,M,2014-02,gsi015,1,20
622,M,2013-02,gsi005,28,7
587,F,2013-02,gsi005,27,0
587,F,2015-01,gsi015,35,8
346,M,2011-02,gsi014,79,10
853,M,2013-01,gsi015,81,10
317,M,2010-02,inf63,85,0
855,M,2013-01,gsi015,60,16
